,user_gender,referral_code_used,user_age,monthly_total_sell,EOP_Saham_AUM,EOP_Pasar_Uang_AUM,EOP_Pendapatan_Tetap_AUM,EOP_Campuran_AUM,EOP_total_invested_amount,EOP_profit_rate,user_vintage,predicted_score
5491,0,0,38.0,0.0,145617.0,160345.0,90277.0,0.0,390000.0,1.5997435897435897,1.0,0.681169004853603
5496,0,0,29.0,-430000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5528464394378528
5497,0,0,32.0,0.0,55329.0,10040.0,40265.0,0.0,100000.0,5.634,1.0,0.7901773600294503
5501,0,0,43.0,0.0,55329.0,10040.0,40265.0,0.0,100000.0,5.634,1.0,0.8329525807192671
5503,0,1,26.0,-94407.0,1641454.0,976318.0,2204243.0,0.0,4730593.0,1.9325695531194502,1.0,0.5498980880770631
5505,1,0,21.0,-140000.0,1702363.0,0.0,0.0,0.0,1630000.0,4.439447852760736,1.0,0.5927126450679707
5508,1,0,38.0,-200000.0,217150.0,0.0,0.0,0.0,200000.0,8.575000000000001,1.0,0.8259932918468686
5509,0,0,26.0,0.0,0.0,200808.0,0.0,0.0,200000.0,0.404,1.0,0.5590438127065336
5510,0,0,32.0,-300000.0,21266.0,100483.0,101066.0,0.0,220000.0,1.2795454545454545,1.0,0.6297545913680374
5512,0,0,37.0,0.0,438934.0,50115.0,221611.0,0.0,700000.0,1.522857142857143,1.0,0.6725170936295874
5514,1,0,54.0,0.0,11028.0,20082.0,70110.0,0.0,100000.0,1.22,1.0,0.6593244818113037
5516,1,0,20.0,0.0,234051.0,40084.0,141113.0,0.0,400000.0,3.812,1.0,0.5644554572304673
5518,1,0,27.0,0.0,304916.0,20138.0,90286.0,0.0,400000.0,3.8350000000000004,1.0,0.6081755363260485
5520,0,0,26.0,0.0,33197.0,0.0,70465.0,0.0,100000.0,3.662,1.0,0.6941432481858045
5521,1,0,49.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5757617689590517
5523,1,0,27.0,0.0,17166244.0,1024136.0,2464307.0,0.0,20000000.0,3.273435,1.0,0.5818715356808529
5525,0,0,20.0,0.0,206247.0,185852.0,100571.0,0.0,485000.0,1.581443298969072,1.0,0.573732256650644
5531,0,0,28.0,0.0,53335.0,210409.0,40127.0,0.0,300000.0,1.2903333333333333,1.0,0.6103040300925202
5533,1,0,29.0,0.0,431654.0,100372.0,291012.0,0.0,800000.0,2.87975,1.0,0.5808457712173116
